HHID,PERSID,VPLID,RitID,HH_VALID,P_VALID,KHVM,WEGGEWEEST,VERTREKP,AANTVPL,VPLDAGNR,VERPL,VERPLNR,TOER,TOER_TYPE,AANTRIT,KMOTIEF,VERTPROV,AANKPROV,KAFSTV,KVERTTIJD,KREISDUUR,ROLAUTO,PARKEERKOSTEN,VERTRAGING,DAGSOORT,OORDEEL_AUTO,OORDEEL_TREIN,OORDEEL_BTM,OORDEEL_FIETS,OORDEEL_BROMMER,OORDEEL_LOPEN,GEBRUIK_AUTO_STELLING3,GEBRUIK_AUTO_STELLING4,GEBRUIK_TREIN_STELLING3,GEBRUIK_TREIN_STELLING4,GEBRUIK_BTM_STELLING3,GEBRUIK_BTM_STELLING4,GEBRUIK_FIETS_STELLING2,GEBRUIK_FIETS_STELLING3,GEBRUIK_LOPEN_STELLING3,GEBRUIK_LOPEN_STELLING4,HHPERS,HHSAM,N_KIND,HHBRUTOINK2_w5,HHAUTO_N,HHAUTO,HHBESTEL,HHHYBRID,HHMOTOR,HHBROM,HHSNOR,HHFIETS,HHVOUWFIETS,HHEBIKE
30055622,3005562201,13957101,1395710101,2,3,2,1,2,2,1,3,1,0,9,1,2,0,0,13,8,11,2,0,0,1,4,3,3,4,4,4,4,4,3,4,3,4,4,3,2,4,3,3,0,2,3,1,0,0,1,0,0,1,0,1
30055622,3005562201,13957102,1395710201,2,3,2,1,2,2,1,3,2,0,9,1,2,0,0,13,13,8,2,0,0,1,4,3,3,4,4,4,4,4,3,4,3,4,4,3,2,4,3,3,0,2,3,1,0,0,1,0,0,1,0,1
30055622,3005562201,13957201,1395720101,2,3,1,1,2,4,2,3,1,0,9,1,2,0,0,8,5,7,1,0,0,1,4,3,3,4,4,4,4,4,3,4,3,4,4,3,2,4,3,3,0,2,3,1,0,0,1,0,0,1,0,1
30055622,3005562201,13957202,1395720201,2,3,1,1,2,4,2,3,2,0,9,1,9,0,0,8,8,5,1,0,0,1,4,3,3,4,4,4,4,4,3,4,3,4,4,3,2,4,3,3,0,2,3,1,0,0,1,0,0,1,0,1
30204076,3020407601,14445303,1444530301,2,3,8,1,1,3,3,3,3,0,9,3,7,0,0,13,8,11,0,0,0,2,5,2,2,5,1,4,5,4,1,3,1,3,4,2,2,3,2,2,0,4,2,1,1,0,1,0,0,1,0,1
30204076,3020407601,14445303,1444530302,2,3,8,1,1,3,3,0,3,0,9,3,7,0,0,13,8,11,0,0,0,2,5,2,2,5,1,4,5,4,1,3,1,3,4,2,2,3,2,2,0,4,2,1,1,0,1,0,0,1,0,1
30204076,3020407601,14445303,1444530303,2,3,8,1,1,3,3,0,3,0,9,3,7,0,0,13,8,11,0,0,0,2,5,2,2,5,1,4,5,4,1,3,1,3,4,2,2,3,2,2,0,4,2,1,1,0,1,0,0,1,0,1
30356310,3035631001,17204101,1720410101,2,3,8,1,2,1,1,3,1,1,6,3,8,0,0,8,5,11,0,0,0,1,4,3,3,4,2,4,4,4,2,4,2,4,4,4,2,4,2,2,0,4,2,1,0,0,0,0,0,0,0,1
30356310,3035631001,17204101,1720410102,2,3,8,1,2,1,1,0,1,1,6,3,8,0,0,8,5,11,0,0,0,1,4,3,3,4,2,4,4,4,2,4,2,4,4,4,2,4,2,2,0,4,2,1,0,0,0,0,0,0,0,1
30356310,3035631001,17204101,1720410103,2,3,8,1,2,1,1,0,1,1,6,3,8,0,0,8,5,11,0,0,0,1,4,3,3,4,2,4,4,4,2,4,2,4,4,4,2,4,2,2,0,4,2,1,0,0,0,0,0,0,0,1
