Variable,Var_description,Value,Label,Measurement_level,BaseData_Type,Name_BaseData,Filter_Variables
PERSOON,new person,0,no new person,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
PERSOON,new person,1,new person,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
HHID,Unique Household ID,999999999,Input,Scale,Mobility,MPNWAVE6_DAGBOEKdata,1
PERSID,Unique ID of Person,999999999,Unique ID of Person,Scale,Mobility,MPNWAVE6_DAGBOEKdata,1
HH_VALID,Complete household yes or no,0,"Not a complete household, not all persons completed the questionnaire",Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
HH_VALID,Complete household yes or no,1,"Not a complete household, but all persons completed the questionnaire",Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
HH_VALID,Complete household yes or no,2,Yes a complete household,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
HH_VALID,Complete household yes or no,3,No household questionnaire,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
IMPHHDATA,Imputation household characteristics,0,"no household questionnaire, did not participate in 2017",Nominal,Mobility,MPNWAVE6_DAGBOEKdata,0
IMPHHDATA,Imputation household characteristics,1,"no household questionnaire, imputation of household characteristics 2017",Nominal,Mobility,MPNWAVE6_DAGBOEKdata,0
IMPHHDATA,Imputation household characteristics,2,household questionnaire is completed,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,0
P_VALID,Person completed the survey,0,"no questions asked, person is younger than 12 years old",Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
P_VALID,Person completed the survey,1,person did not complete the questionnaire,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
P_VALID,Person completed the survey,2,person completed the questionnaire and did not complete the diary,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
P_VALID,Person completed the survey,3,person completed the questionnaire and completed the diary,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
P_VALID,Person completed the survey,4,person did not complete the questionnaire but did complete a diary,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
VPLID,Unique ID per trip,999999999,Unique ID per trip,Scale,Mobility,MPNWAVE6_DAGBOEKdata,1
WEGGEWEEST,Person travelled on trip day,0,On this day the person did not go somewhere,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
WEGGEWEEST,Person travelled on trip day,1,On this day the person did go somewhere,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
VERTREKP,Departure point 1st trip,1,Own address,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
VERTREKP,Departure point 1st trip,2,Another address,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
VERTREKP,Departure point 1st trip,9,Unknown,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
VERTREKP,Departure point 1st trip,99,On this day the person did not take a trip,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
AANTVPL,Number of trips per day,99,On this day the person did not take a trip,Nominal,Mobility,MPNWAVE6_DAGBOEKdata,1
